id,citation,year,type,source_category,confidence_score,is_corroboration,corroborates_id,usage_type,model_ready,primary_data_type,secondary_data_type,unit_type,sector,geo_level,geo_name,tp_year,tp_quarter,tp_month,tp_date_exact,url,confirmed_figures,linked_variable,data_used_for,notes
BIZ_2024_EOY,Downtown Winnipeg BIZ. Downtown Snapshot: Year in Review 2024. March 2025.,2025,biz_report,market_data,0.85,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2024,,,,https://downtownwinnipegbiz.com/wp-content/uploads/2025/03/DowntownSnapshot_YearInReview_2024_WEB.pdf,,,Downtown recovery indicators 2024,
BIZ_Q1_2024,Downtown Winnipeg BIZ. Downtown Snapshot Q1 2024. April 2024.,2024,biz_report,market_data,0.85,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2024,1,,,https://downtownwinnipegbiz.com/wp-content/uploads/2024/05/DowntownSnapshot_WEB_2024_Q1_APR2024.pdf,,,Quarterly downtown activity indicators 2024,
BIZ_Q2_2025,Downtown Winnipeg BIZ. Downtown Snapshot Q2 2025. 2025.,2025,biz_report,market_data,0.85,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2025,2,,,https://downtownwinnipegbiz.com/wp-content/uploads/2025/07/DowntownSnapshot_2025_Q2WEB.pdf,,,Downtown activity indicators Q2 2025,
EDW_2016,Economic Development Winnipeg. Real Estate — Office Vacancy Data. 2016.,2016,government,official,0.9,FALSE,,core_input,TRUE,vacancy_rate,,percent,office,metro,Winnipeg,2016,,,,,Winnipeg 8.7% 2016,vac.rate.metro,Winnipeg office vacancy 2016 baseline,No public URL; baseline figure for vacancy time series
STATCAN_2021,Statistics Canada. Census Profile 2021 Census of Population — Winnipeg City (CSD). February 9 2022.,2022,government,official,0.95,FALSE,,core_input,TRUE,unit_count,,units,residential,metro,Winnipeg,2021,,,,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/index.cfm?Lang=E,~16000 residents 2016; ~18000 residents 2021,dhs.residential_demand,Downtown residential population 2016 and 2021,
COW_LICENSES,City of Winnipeg. Business Licenses Open Data. Accessed April 2026.,2026,government,official,0.95,FALSE,,context_only,FALSE,policy_context,,categorical,mixed_use,metro,Winnipeg,2026,,,,https://data.winnipeg.ca/Neighbourhood-Liveability-Property-Standards-Licen/Business-Licenses/d5k3-sfzx,,,Business license activity reference,Not directly used in quantitative analysis
COW_PERMITS_2025,City of Winnipeg. Downtown Housing Permits Surge to 15-Year High in 2025. February 25 2026.,2026,government,official,0.95,FALSE,,core_input,TRUE,unit_count,,units,residential,downtown,Downtown Winnipeg,2025,,,,https://www.winnipeg.ca/news/2026-02-25-downtown-housing-permits-surge-15-year-high-2025,1040 residential units permitted downtown in 2025,housing.permits.downtown,Downtown housing permit surge 2025,
WCC_2024,Winnipeg Chamber of Commerce. Downtown Winnipeg Revitalization Policy Position. 2024.,2024,government,official,0.75,FALSE,,context_only,FALSE,policy_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2024,,,,,,,Downtown policy context,No public URL confirmed
MMF_GOC_2023,Manitoba Métis Federation & Government of Canada. MMF and GoC Announce Investment for Red River Métis. July 4 2023.,2023,government,official,0.85,FALSE,,context_only,FALSE,investment_value,,millions_cad,mixed_use,provincial,Manitoba,2023,,,,https://www.mmf.mb.ca/news/manitoba-metis-federation-and-government-of-canada-announce-investment-of-over-145-million-for-the-red-river-metis,,,MMF Heritage Centre context,
MMF_2025,Manitoba Métis Federation. Red River Métis Our Grandmothers Collection Finds Its Way Home. June 27 2025.,2025,government,official,0.75,FALSE,,context_only,FALSE,event_date,,date,mixed_use,provincial,Manitoba,2025,,,,https://www.mmf.mb.ca/news/red-river-metis-our-grandmothers-collection-finds-its-way-home,,,MMF Heritage Centre progress 2025,
BMO_MMF_2020,BMO Ficial Group. BMO and MMF Working Together to Transform Historic Portage and Main Building. May 11 2020.,2020,government,official,0.5,FALSE,,event_input,TRUE,event_date,,date,mixed_use,downtown,Downtown Winnipeg,2020,,5,,https://newsroom.bmo.com/2020-05-11-BMO-and-Manitoba-Metis-Federation-Working-Together-to-Transform-Historic-Portage-and-Main-Building-into-Future-Home-of-the-Metis-Nation-Heritage-Centre,BMO building acquisition 2020,gantt.mmf_heritage.start_date,MMF acquires BMO building 2020; Heritage Centre origin,
NUMBERTEN_MMF,Number TEN Architectural Group. MMF National Heritage Centre.,2024,reference,background,0.75,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2024,,,,https://www.numberten.com/project/mmf-national-heritage-centre/,,,MMF Heritage Centre design and scope,
MB_RAILSIDE_2019,Government of Manitoba. Manitoba Supports Railside Development Project at The Forks. December 18 2019.,2019,government,official,0.85,FALSE,,context_only,FALSE,investment_value,,millions_cad,residential,downtown,Downtown Winnipeg,2019,,12,,https://news.gov.mb.ca/news/?archive=&item=46557,,,Railside at The Forks project origin and provincial funding,
GLOBENEWS_VAC_2024,Woelk Daisy. Why Canada's downtown office vacancy rate hit a record high to end 2023. Global News. January 10 2024.,2024,news_other,news,0.65,TRUE,CBRE_WPG_Q4_2023,validation_only,FALSE,vacancy_rate,,percent,office,national,Canada,2024,,1,,https://globalnews.ca/news/10216439/why-canada-downtown-office-vacancy-record-high-2023/,National avg 19.4% Q4 2023 corroboration,vac.rate.national,National office vacancy context 2023,
BNN_VAC_2026,Bickis Ian. Office vacancy rate dips as return-to-office shift picks up: CBRE report. The Canadian Press / BNN Bloomberg. January 7 2026.,2026,news_other,news,0.65,TRUE,CBRE_Q4_2025,validation_only,FALSE,vacancy_rate,,percent,office,national,Canada,2026,,1,,https://www.bnnbloomberg.ca/business/2026/01/07/office-vacancy-rate-dips-as-return-to-office-shift-picks-up-cbre-report/,,,National office vacancy trend 2025–2026,
GLOBE_VAC_2026,Office vacancy rates continue to drop but the recovery is uneven. The Globe and Mail. January 7 2026.,2026,news_other,news,0.65,TRUE,CBRE_Q4_2025,validation_only,FALSE,vacancy_rate,,percent,office,national,Canada,2026,,1,,https://www.theglobeandmail.com/business/article-office-vacancy-rates-drop-recovery/,,,National office vacancy trend 2026,May be paywalled
CBC_MMF_BMO_2020,Historic Portage and Main BMO building to become future home of Métis Nation Heritage Centre. CBC News. May 12 2020.,2020,news_cbc,news,0.75,TRUE,BMO_MMF_2020,validation_only,FALSE,event_date,,date,mixed_use,downtown,Downtown Winnipeg,2020,,5,,https://www.cbc.ca/news/canada/manitoba/mmf-to-buy-bmo-building-in-winnipeg-1.5565613,,gantt.mmf_heritage.start_date,MMF acquires BMO building at Portage & Main,
CBC_STARLIGHT_2021,Starlight deal Portage Place dead. CBC News. 2021.,2021,news_cbc,news,0.75,FALSE,,event_input,TRUE,event_date,,date,retail,downtown,Downtown Winnipeg,2021,,9,,https://www.cbc.ca/news/canada/manitoba/starlight-deal-portage-place-dead-1.6193743,Event date: 2021-09-29,gantt.starlight.event_date,Starlight Investments withdraws from Portage Place purchase September 29 2021,Primary source for Starlight collapse event
CBC_MACLEAN_2022,MacLean Cameron. Grant program aims to reverse trend of disappearing businesses in downtown Winnipeg. CBC News. July 18 2022.,2022,news_cbc,news,0.75,FALSE,,context_only,FALSE,qualitative_context,,categorical,retail,downtown,Downtown Winnipeg,2022,,7,,https://www.cbc.ca/news/canada/manitoba/downtown-winnipeg-building-business-program-1.6524428,,,Ground-floor vacancy context; business closure signals 2022,
CBC_WEHWEHNEH_2023,Bernhardt Darren. On the way to Wehwehneh: What it takes to transform downtown Winnipeg's former Bay. CBC News. April 17 2023.,2023,news_cbc,news,0.75,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2023,,4,,https://www.cbc.ca/news/canada/manitoba/wehwehneh-winnipeg-former-bay-redevelopment-1.6807000,,,Wehwehneh project scope and timeline,
CBC_SCO_TNS_2023A,Kives Bartley. Southern Chiefs Organization praises potential True North purchase of Portage Place. CBC News. April 18 2023.,2023,news_cbc,news,0.75,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2023,,4,,https://www.cbc.ca/news/canada/manitoba/bay-portage-place-sco-true-north-1.6813542,,,True North / SCO Portage Place partnership context,
CBC_TNS_PORTAGE_2023A,Kives Bartley. True North redevelopment plan for Portage Place met with cautious optimism. CBC News. May 12 2023.,2023,news_cbc,news,0.75,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2023,,5,,https://www.cbc.ca/news/canada/manitoba/portage-place-true-north-reaction-1.6841551,,,Portage Place redevelopment community response,
CBC_TNS_PORTAGE_2023B,Kives Bartley. Plans to redevelop Portage Place and former Bay building need to proceed essentially in lockstep: True North. CBC News. December 1 2023.,2023,news_cbc,news,0.75,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2023,,12,,https://www.cbc.ca/news/canada/manitoba/true-north-portage-place-redevelopment-1.7045553,,,True North / SCO coordination on Portage Place and Wehwehneh,
CBC_TNS_SCO_2023,Kives Bartley. True North and Southern Chiefs Organization sign partnership. CBC News. December 12 2023.,2023,news_cbc,news,0.75,FALSE,,core_input,TRUE,investment_value,event_date,millions_cad,mixed_use,downtown,Downtown Winnipeg,2023,,12,,https://www.cbc.ca/news/canada/manitoba/redevelop-plans-portage-place-bay-true-north-sco-winnipeg-1.7056507,TNS Portage Place $650M; Wehwehneh cost revised upward,inv.portage_place.millions; inv.wehwehneh.millions,True North / SCO formal partnership; cost estimates; Portage Place $650M figure,Primary source for $650M Portage Place figure
CBC_BIZ_2024,Bernhardt Darren. We are bouncing back but Winnipeg's downtown recovery still a work in progress. CBC News. March 6 2024.,2024,news_cbc,news,0.75,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2024,,3,,https://www.cbc.ca/news/canada/manitoba/downtown-winnipeg-snapshot-report-biz-1.7135193,,,Downtown recovery signals 2023–2024,
CBC_TNS_TOWER_2024,Kives Bartley. True North and Southern Chiefs Organization agree to build 15-storey residential tower at Portage Place. CBC News. April 5 2024.,2024,news_cbc,news,0.75,FALSE,,event_input,TRUE,event_date,,date,office,downtown,Downtown Winnipeg,2024,,4,,https://www.cbc.ca/news/canada/manitoba/portage-place-wab-kinew-1.7164313,,gantt.wawanesa_tower.end_date,Portage Place residential tower approval 2024,
CBC_WEHWEHNEH_31M_2024,Bernhardt Darren. Wehwehneh Bahgahkinahgohn gets another $31M from feds. CBC News. May 24 2024.,2024,news_cbc,news,0.75,FALSE,,core_input,TRUE,investment_value,,millions_cad,mixed_use,downtown,Downtown Winnipeg,2024,,5,,https://www.cbc.ca/news/canada/manitoba/wehwehneh-bahgahkinahgohn-thebay-winnipeg-transformation-1.7213774,$31M additional federal funding (total $96M+),inv.wehwehneh.millions,Wehwehneh additional $31M federal funding 2024,
CBC_WEHWEHNEH_2025,Bernhardt Darren. Southern Chiefs Organization to adjust cost and scope of downtown Winnipeg Bay redevelopment. CBC News. March 19 2025.,2025,news_cbc,news,0.75,FALSE,,core_input,TRUE,investment_value,qualitative_context,millions_cad,mixed_use,downtown,Downtown Winnipeg,2025,,3,,https://www.cbc.ca/news/canada/manitoba/wehwehneh-winnipeg-bay-building-update-1.7487182,Total project budget $310M,inv.wehwehneh.millions,Wehwehneh scope adjustment 2025; total budget $310M,
CBC_RAILSIDE_2026,Hundreds of residential units coming as construction starts on 1st housing project at The Forks. CBC News. January 15 2026.,2026,news_cbc,news,0.75,FALSE,,event_input,TRUE,event_date,,date,residential,downtown,Downtown Winnipeg,2026,,1,,https://www.cbc.ca/news/canada/manitoba/the-forks-railside-housing-development-construction-starts-9.7047511,,gantt.railside.status,Railside Phase 1 construction start January 2026,
CBC_PROJECTS_2026,A look at 9 significant construction projects underway in Winnipeg this year. CBC News. January 17 2026.,2026,news_cbc,news,0.75,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,metro,Winnipeg,2026,,1,,https://www.cbc.ca/news/canada/manitoba/major-winnipeg-projects-2026-9.7047651,,,Overview of active construction 2026,
CBC_HERITAGE_2026,Winnipeg's St. Charles Hotel slated to become 11-storey residential tower facade will remain. CBC News. January 27 2026.,2026,news_cbc,news,0.75,FALSE,,core_input,TRUE,investment_value,unit_count,millions_cad,residential,downtown,Downtown Winnipeg,2026,,1,,https://www.cbc.ca/news/canada/manitoba/centreventure-winnipeg-downtown-housing-heritage-buildings-9.7063117,297 total units; 106 affordable; $4.65M CentreVenture funding,inv.heritage_conversions.millions; housing.units.downtown,Heritage conversions Exchange District; 297 units across 4 buildings,
CBC_PORTAGE_PLACE_2026,Scott Lauren. Portage Place atrium coming down as redevelopment project aims for 2028 completion. CBC News. January 27 2026.,2026,news_cbc,news,0.75,FALSE,,event_input,TRUE,event_date,,date,mixed_use,downtown,Downtown Winnipeg,2026,,1,,https://www.cbc.ca/news/canada/manitoba/portage-place-construction-9.7063848,Active deconstruction confirmed Jan 27 2026,gantt.portage_place.status,Portage Place active deconstruction confirmed January 27 2026; 2028 target,Primary source for Portage Place status override in Gantt
GLOBENEWS_BIZ_2024,Woelk Daisy. Downtown Winnipeg on the right track according to 2023 snapshot. Global News. March 6 2024.,2024,news_other,news,0.65,TRUE,BIZ_2023_EOY,validation_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2024,,3,,https://globalnews.ca/news/10339226/downtown-winnipeg-snapshot-2023/,,,Downtown recovery context 2023–2024,
JOC_RAILSIDE_2024,Caulfield Peter. First phase of Winnipeg Railside development to break ground. Journal of Commerce / ConstructConnect. May 3 2024.,2024,news_other,news,0.65,FALSE,,context_only,FALSE,event_date,,date,residential,downtown,Downtown Winnipeg,2024,,5,,https://canada.constructconnect.com/joc/news/projects/2024/05/first-phase-of-winnipeg-railside-development-to-break-ground,,,Railside Phase 1 groundbreaking 2024,
CTV_HOTEL_2024,Hotel being built at True North Square is years behind schedule. CTV News Winnipeg. November 22 2024.,2024,news_other,news,0.65,FALSE,,event_input,TRUE,event_date,,date,mixed_use,downtown,Downtown Winnipeg,2024,,11,,https://www.ctvnews.ca/winnipeg/article/hotel-being-built-at-true-north-square-is-years-behind-schedule/,,gantt.sutton_place_hotel.status,Sutton Place Hotel delay confirmed; still under construction as of Nov 2024,Primary source for Sutton Place delay status
JOC_PORTAGE_2024,Caulfield Peter. At last: Winnipeg's Portage Place redevelopment gets official go-ahead. Journal of Commerce / ConstructConnect. December 19 2024.,2024,news_other,news,0.65,FALSE,,context_only,FALSE,event_date,,date,mixed_use,downtown,Downtown Winnipeg,2024,,12,,https://canada.constructconnect.com/joc/news/projects/2024/12/at-last-winnipegs-portage-place-redevelopment-gets-official-go-ahead,,,Portage Place official approval December 2024,
CTV_BIZ_2025,Bernacki Joseph. Downtown Winnipeg BIZ 2024 report filled with optimism for neighbourhood. CTV News Winnipeg. April 1 2025.,2025,news_other,news,0.65,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2025,,4,,https://www.ctvnews.ca/winnipeg/article/downtown-winnipeg-biz-snapshot-filled-with-optimism-for-core/,,,Downtown sentiment and recovery signals 2024,
CTV_HERITAGE_2025,Bernacki Joseph. From heritage buildings to homes: How more housing could be coming to downtown Winnipeg. CTV News Winnipeg.,2025,news_other,news,0.65,FALSE,,context_only,FALSE,qualitative_context,,categorical,residential,downtown,Downtown Winnipeg,2025,,,,https://www.ctvnews.ca/winnipeg/article/from-heritage-buildings-to-homes-how-more-housing-could-be-coming-to-downtown-winnipeg/,,,Heritage conversion housing pipeline context,No publication date confirmed
CHRISD_2026,Nearly 300 New Housing Units Planned for Downtown Winnipeg Redevelopment. ChrisD.ca. January 27 2026.,2026,news_other,news,0.65,TRUE,CBC_HERITAGE_2026,validation_only,FALSE,unit_count,,units,residential,downtown,Downtown Winnipeg,2026,,1,,https://www.chrisd.ca/2026/01/27/downtown-winnipeg-housing-units-redevelopment-centreventure/,~300 units planned,housing.units.downtown,Heritage conversions unit count corroboration,Corroborates CBC_HERITAGE_2026
WAWANESA_2024,Wawanesa Insurance. Wawanesa opens national headquarters at True North Square announces $500000 for a more vibrant downtown. March 13 2024.,2024,news_other,news,0.5,FALSE,,event_input,TRUE,investment_value,event_date,millions_cad,office,downtown,Downtown Winnipeg,2024,,3,,https://www.wawanesa.com/canada/news/wawanesa-opens-national-hq-announces-ficial-support-for-vibrant-downtown,Opening March 13 2024; 21 storeys; 360000 sq ft; 1300 staff; $500000 downtown investment,gantt.wawanesa_tower.end_date; inv.wawanesa.millions,Wawanesa Tower opening date; building specs; 1300 staff figure,Note: body text says March 13 2023 — this is a typo on Wawanesa's page; correct year is 2024 per page header and CTV corroboration
TOURISM_WPG_TNS,Tourism Winnipeg. Winnipeg's True North Square Taking Shape. Only in the Peg.,2024,reference,background,0.4,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,,,,,https://www.tourismwinnipeg.com/things-to-do/only-in-the-peg/read/post/637/winnipeg-s-true-north-square-taking-shape,,,True North Square overview and development context,No publication date confirmed; undated feature article
WFP_TNS_SCO_2023,Winnipeg Free Press. True North and Southern Chiefs join forces in downtown projects as cost estimates jump. December 12 2023.,2023,news_other,news,0.65,TRUE,CBC_TNS_SCO_2023,validation_only,FALSE,investment_value,,millions_cad,mixed_use,downtown,Downtown Winnipeg,2023,,12,,https://www.winnipegfreepress.com/breakingnews/2023/12/12/true-north-southern-chiefs-join-forces-in-downtown-projects-as-cost-estimates-jump,,inv.portage_place.millions,True North / SCO partnership; revised cost estimates for Portage Place and Wehwehneh,May be paywalled; corroborates CBC_TNS_SCO_2023
WIKIPEDIA_TNS,True North Square. Wikipedia.,2024,reference,background,0.4,FALSE,,context_only,FALSE,qualitative_context,,categorical,mixed_use,downtown,Downtown Winnipeg,2024,,,,https://en.wikipedia.org/wiki/True_North_Square,,,True North Square phased development overview and tower completion dates,User-editable; cross-check key figures against primary sources
