"Folder Type","Folder Description","Subdescription","Trade Name","Address","Issue Date","Expiry Date","Status","Neighbourhood Number","Neighbourhood Name","Electoral Ward","Community Characterization Area","Location"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2025 May 22 12:00:00 AM","2026 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2025 May 22 12:00:00 AM","2026 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 24 12:00:00 AM","2024 Feb 13 12:00:00 AM","Issued","1.106","EARL GREY","Fort Rouge - East Fort Garry","River Heights",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Apr 04 12:00:00 AM","2023 Mar 04 12:00:00 AM","Closed (L)","3.306","ST. JOHN'S","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Aug 24 12:00:00 AM","2022 Dec 31 12:00:00 AM","Closed (L)","3.302","WILLIAM WHYTE","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Jun 28 12:00:00 AM","2023 Jul 02 12:00:00 AM","Closed (L)","3.302","WILLIAM WHYTE","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jul 13 12:00:00 AM","2022 Jul 02 12:00:00 AM","Closed (L)","1.113","WOLSELEY","Daniel McIntyre","West End",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Mar 12 12:00:00 AM","2021 Dec 31 12:00:00 AM","Closed (L)","1.11","McMILLAN","Fort Rouge - East Fort Garry","River Heights",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Jan 05 12:00:00 AM","2022 Dec 31 12:00:00 AM","Closed (L)","5.502","CENTRAL ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Apr 05 12:00:00 AM","2022 Sep 30 12:00:00 AM","Closed (L)","3.302","WILLIAM WHYTE","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Mar 03 12:00:00 AM","2022 Mar 07 12:00:00 AM","Closed (L)","1.113","WOLSELEY","Daniel McIntyre","West End",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Jan 05 12:00:00 AM","2022 Dec 31 12:00:00 AM","Closed (L)","5.502","CENTRAL ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Aug 13 12:00:00 AM","2022 Feb 22 12:00:00 AM","Closed (L)","5.513","NORWOOD EAST","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 May 05 12:00:00 AM","2023 Mar 02 12:00:00 AM","Closed (L)","5.502","CENTRAL ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Mar 08 12:00:00 AM","2024 Feb 06 12:00:00 AM","Issued","1.113","WOLSELEY","Daniel McIntyre","West End",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Mar 09 12:00:00 AM","2024 Apr 01 12:00:00 AM","Issued","3.105","WEST ALEXANDER","Point Douglas","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Aug 22 12:00:00 AM","2023 Feb 22 12:00:00 AM","Closed (L)","5.513","NORWOOD EAST","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Oct 14 12:00:00 AM","2023 Feb 28 12:00:00 AM","Closed (L)","3.302","WILLIAM WHYTE","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 27 12:00:00 AM","2024 Mar 09 12:00:00 AM","Issued","1.108","DANIEL McINTYRE","Daniel McIntyre","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Apr 28 12:00:00 AM","2023 Feb 21 12:00:00 AM","Closed (L)","3.311","NORTH POINT DOUGLAS","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jan 13 12:00:00 AM","2020 Dec 31 12:00:00 AM","Closed (L)","3.302","WILLIAM WHYTE","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Feb 03 12:00:00 AM","2022 Jul 06 12:00:00 AM","Closed (L)","5.502","CENTRAL ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Jan 25 12:00:00 AM","2023 Feb 20 12:00:00 AM","Closed (L)","3.306","ST. JOHN'S","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 23 12:00:00 AM","2024 Feb 03 12:00:00 AM","Issued","1.103","WEST BROADWAY","Fort Rouge - East Fort Garry","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Mar 17 12:00:00 AM","2023 Mar 11 12:00:00 AM","Closed (L)","1.103","WEST BROADWAY","Fort Rouge - East Fort Garry","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Aug 03 12:00:00 AM","2024 Aug 09 12:00:00 AM","Issued","5.502","CENTRAL ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jul 13 12:00:00 AM","2022 Jul 12 12:00:00 AM","Closed (L)","1.103","WEST BROADWAY","Fort Rouge - East Fort Garry","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Jan 05 12:00:00 AM","2022 Dec 31 12:00:00 AM","Closed (L)","5.502","CENTRAL ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Dec 28 12:00:00 AM","2022 Oct 04 12:00:00 AM","Closed (L)","3.302","WILLIAM WHYTE","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 23 12:00:00 AM","2024 Jan 22 12:00:00 AM","Issued","1.111","RIVER-OSBORNE","Fort Rouge - East Fort Garry","River Heights",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jul 16 12:00:00 AM","2022 Jun 16 12:00:00 AM","Closed (L)","3.311","NORTH POINT DOUGLAS","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Aug 23 12:00:00 AM","2023 Feb 16 12:00:00 AM","Closed (L)","5.501","NORTH ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jul 05 12:00:00 AM","2022 Jun 30 12:00:00 AM","Closed (L)","5.513","NORWOOD EAST","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jul 12 12:00:00 AM","2021 Dec 31 12:00:00 AM","Closed (L)","1.665","LORD ROBERTS","Fort Rouge - East Fort Garry","River Heights",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Jan 05 12:00:00 AM","2022 Dec 31 12:00:00 AM","Closed (L)","5.502","CENTRAL ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 05 12:00:00 AM","2024 Feb 01 12:00:00 AM","Issued","3.302","WILLIAM WHYTE","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Oct 23 12:00:00 AM","2024 Sep 05 12:00:00 AM","Issued","1.113","WOLSELEY","Daniel McIntyre","West End",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Apr 06 12:00:00 AM","2023 Mar 12 12:00:00 AM","Closed (L)","5.501","NORTH ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 16 12:00:00 AM","2024 Feb 03 12:00:00 AM","Issued","3.102","CENTENNIAL","Point Douglas","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jan 14 12:00:00 AM","2020 Dec 31 12:00:00 AM","Closed (L)","3.306","ST. JOHN'S","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Dec 12 12:00:00 AM","2023 Aug 31 12:00:00 AM","Closed (L)","3.105","WEST ALEXANDER","Point Douglas","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 30 12:00:00 AM","2024 Jan 28 12:00:00 AM","Issued","1.108","DANIEL McINTYRE","Daniel McIntyre","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Feb 04 12:00:00 AM","2022 Feb 28 12:00:00 AM","Closed (L)","3.302","WILLIAM WHYTE","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Apr 04 12:00:00 AM","2023 Feb 18 12:00:00 AM","Closed (L)","3.105","WEST ALEXANDER","Point Douglas","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 18 12:00:00 AM","2024 Feb 06 12:00:00 AM","Issued","1.103","WEST BROADWAY","Fort Rouge - East Fort Garry","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Aug 02 12:00:00 AM","2022 Dec 31 12:00:00 AM","Closed (L)","3.102","CENTENNIAL","Point Douglas","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jan 07 12:00:00 AM","2021 Dec 31 12:00:00 AM","Closed (L)","5.513","NORWOOD EAST","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Aug 23 12:00:00 AM","2021 Dec 31 12:00:00 AM","Closed (L)","5.513","NORWOOD EAST","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 May 20 12:00:00 AM","2022 Apr 28 12:00:00 AM","Closed (L)","3.302","WILLIAM WHYTE","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Aug 26 12:00:00 AM","2022 Dec 31 12:00:00 AM","Closed (L)","1.113","WOLSELEY","Daniel McIntyre","West End",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Oct 18 12:00:00 AM","2023 Mar 16 12:00:00 AM","Closed (L)","5.509","HOLDEN","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Oct 07 12:00:00 AM","2022 Mar 16 12:00:00 AM","Closed (L)","5.509","HOLDEN","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 30 12:00:00 AM","2024 Feb 20 12:00:00 AM","Issued","3.306","ST. JOHN'S","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Jun 29 12:00:00 AM","2022 Dec 31 12:00:00 AM","Closed (L)","1.113","WOLSELEY","Daniel McIntyre","West End",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Mar 30 12:00:00 AM","2024 Mar 30 12:00:00 AM","Issued","1.115","MINTO","Daniel McIntyre","West End",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Jan 28 12:00:00 AM","2023 Feb 28 12:00:00 AM","Closed (L)","5.501","NORTH ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jul 05 12:00:00 AM","2022 Jul 02 12:00:00 AM","Closed (L)","3.302","WILLIAM WHYTE","Mynarski","Point Douglas",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jul 12 12:00:00 AM","2022 Jul 08 12:00:00 AM","Closed (L)","5.502","CENTRAL ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Sep 12 12:00:00 AM","2023 Mar 02 12:00:00 AM","Closed (L)","1.112","ST. MATTHEWS","Daniel McIntyre","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 31 12:00:00 AM","2024 Feb 05 12:00:00 AM","Issued","5.502","CENTRAL ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Jan 06 12:00:00 AM","2022 Sep 19 12:00:00 AM","Ceased Operation","5.501","NORTH ST. BONIFACE","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Jan 19 12:00:00 AM","2024 Jan 20 12:00:00 AM","Issued","5.513","NORWOOD EAST","St Boniface","St Boniface",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Apr 04 12:00:00 AM","2023 Mar 07 12:00:00 AM","Closed (L)","1.113","WOLSELEY","Daniel McIntyre","West End",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Feb 04 12:00:00 AM","2022 Jul 01 12:00:00 AM","Closed (L)","4.413","ROSSMERE-A","North Kildonan","River East",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jul 06 12:00:00 AM","2022 Jul 09 12:00:00 AM","Closed (L)","1.103","WEST BROADWAY","Fort Rouge - East Fort Garry","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Apr 20 12:00:00 AM","2022 Apr 24 12:00:00 AM","Closed (L)","4.401","CHALMERS","Elmwood - East Kildonan","River East",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Jan 19 12:00:00 AM","2021 Jan 08 12:00:00 AM","Closed (L)","1.113","WOLSELEY","Daniel McIntyre","West End",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2022 Apr 29 12:00:00 AM","2023 Mar 09 12:00:00 AM","Closed (L)","1.108","DANIEL McINTYRE","Daniel McIntyre","Downtown",
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2023 Oct 22 12:00:00 AM","2023 Oct 22 12:00:00 AM","Pending (L)",,,,,
"LX","License - Rooming Houses","Converted Residential Dwelling","(none)",,"2021 Oct 06 12:00:00 AM","2022 Sep 23 12:00:00 AM","Closed (L)","3.311","NORTH POINT DOUGLAS","Mynarski","Point Douglas",
