task_name,category,type,start_date,end_date,status,row_type,source_quality,biz_fallback,primary_source_id,secondary_source_id,source_note
Portage Place decline,Transition,Trend,2013-01-01,,Ongoing,composite,moderate,TRUE,BIZ_2023_EOY,CBC_MACLEAN_2022,~30% ground-floor vacancy; anchor tenant losses; BIZ 2023 primary quantitative source. Source is BIZ context report — not a dedicated event source. Add direct primary.
COVID-era tenant exits (Portage Place),Transition,Event,2020-01-01,2020-12-31,Completed,discrete,moderate,TRUE,BIZ_2023_EOY,CBC_MACLEAN_2022,COVID retail exits referenced in downtown snapshot context. Source is BIZ context report — not a dedicated event source. Add direct primary.
Starlight Portage Place deal collapses,Transition,Event,2021-09-29,2021-09-29,Completed,discrete,strong,FALSE,CBC_STARLIGHT_2021,WFP_TNS_SCO_2023,Starlight withdrawal Sep 29 2021 confirmed by CBC; date used as event_date in gantt
Millennium Library security measures,Transition,Policy,2020-01-01,2022-12-31,Completed,composite,moderate,TRUE,BIZ_2023_EOY,CBC_MACLEAN_2022,Security measures referenced as downtown safety signal in BIZ context. Source is BIZ context report — not a dedicated event source. Add direct primary.
MMF Heritage Centre (BMO building),Growth,Project,2022-01-01,,Under Construction,discrete,strong,FALSE,BMO_MMF_2020,CBC_MMF_BMO_2020; NUMBERTEN_MMF,BMO acquisition 2020 confirmed by BMO press release; construction scope from Number TEN
Wehwehneh Bahgahkinahgohn (former Bay),Growth,Project,2023-01-01,,Under Construction,discrete,strong,FALSE,CBC_WEHWEHNEH_2025,CBC_WEHWEHNEH_31M_2024; CBC_WEHWEHNEH_2023,Total budget $310M confirmed CBC Mar 2025; $31M federal top-up May 2024; scope Apr 2023
300 Main residential tower,Growth,Project,2018-01-01,2023-12-31,Completed,discrete,weak,FALSE,CBC_PROJECTS_2026,BIZ_2023_EOY,300 Main referenced among major projects; no dedicated primary source in registry — flag for addition
325 Broadway (Hyatt Centric),Adaptive Reuse,Project,2021-01-01,2025-12-31,Completed,discrete,weak,TRUE,BIZ_2023_EOY,,Hyatt Centric referenced in downtown recovery context; no dedicated primary source in registry. Source is BIZ context report — not a dedicated event source. Add direct primary.
308 Colony (Solara Flats),Growth,Project,2021-01-01,2025-12-31,Completed,discrete,weak,TRUE,BIZ_2023_EOY,COW_PERMITS_2025,308 Colony in downtown residential pipeline; BIZ primary context. Source is BIZ context report — not a dedicated event source. Add direct primary.
CentrePlan 2050,Policy,Policy,2023-01-01,2023-12-31,Active,discrete,weak,FALSE,WCC_2024,BIZ_2023_EOY,Long-term downtown strategy; no dedicated primary source in registry — flag for addition
Portage Place redevelopment approval,Growth,Project,2024-01-01,2028-12-31,Approved,discrete,strong,FALSE,CBC_TNS_SCO_2023,JOC_PORTAGE_2024; CBC_TNS_PORTAGE_2023A,Partnership and $650M scope confirmed Dec 2023; official go-ahead Dec 2024 (JOC)
Wawanesa Tower (True North Square),Growth,Project,2021-01-01,2024-12-31,Completed,discrete,strong,FALSE,WAWANESA_2024,CBC_TNS_TOWER_2024,Opening Mar 13 2024; 21 storeys; 360k sq ft; 1300 staff — Wawanesa press release primary
Portage & Main reopening project,Infrastructure,Project,2024-01-01,2025-06-27,Completed,discrete,moderate,FALSE,CBC_PROJECTS_2026,BIZ_2024_EOY,Reopening Jun 27 2025 confirmed; $21M project; no dedicated single primary source in registry
Centre Village redevelopment,Growth,Project,2024-01-01,,Under Construction,discrete,moderate,FALSE,CBC_PROJECTS_2026,,WHRC replacement project; referenced in 2026 construction overview
Sutton Place Hotel (True North Square),Growth,Project,2018-01-01,,Under Construction,discrete,strong,FALSE,CTV_HOTEL_2024,WIKIPEDIA_TNS,Delay confirmed CTV Nov 2024; still under construction as of data collection
Portage Place redevelopment construction,Growth,Project,2025-01-01,,Under Construction,discrete,strong,FALSE,CBC_PORTAGE_PLACE_2026,JOC_PORTAGE_2024; CBC_TNS_PORTAGE_2023B,Active deconstruction confirmed Jan 27 2026 (CBC Scott); 2028 target; gantt.portage_place.status
Railside at The Forks (Phase 1),Growth,Project,2024-01-01,,Under Construction,discrete,strong,FALSE,CBC_RAILSIDE_2026,JOC_RAILSIDE_2024; MB_RAILSIDE_2019,Construction start confirmed Jan 15 2026; Phase 1 groundbreaking May 2024 (JOC); Manitoba funding 2019
Heritage conversions (downtown),Growth,Project,2026-01-01,,Planned,composite,strong,FALSE,CBC_HERITAGE_2026,CHRISD_2026; CTV_HERITAGE_2025,297 units across 4 buildings; $4.65M CentreVenture; confirmed Jan 27 2026. Composite row — St. Charles Hotel and Maw's Garage tracked as discrete rows below.
St. Charles Hotel redevelopment,Adaptive Reuse,Project,2026-01-27,,Planned,discrete,strong,FALSE,CBC_HERITAGE_2026,CHRISD_2026,140-unit conversion of 113-year-old hotel at 235 Notre Dame Ave. 11-storey addition; heritage facade preserved. Announced Jan 27 2026 (CBC). Developer: Ken Zaifman / Penfor Construction.
Maw's Garage / Sanford Building redevelopment,Adaptive Reuse,Project,2026-01-27,,Planned,discrete,strong,FALSE,CBC_HERITAGE_2026,CHRISD_2026; EXCHANGE_DISTRICT_2025,114-unit residential tower at 291 Bannatyne Ave (Exchange District). 1907 garage + 1890 Sanford Building. Heritage permit approved over HBRC objection. Announced Jan 27 2026 (CBC).
